759,Bishoujo Senshi Sailor Moon R
761,Tokyo Godfathers
762,Naruto: Akaki Yotsuba no Clover wo Sagase
770,Bleach: Memories in the Rain
777,Pale Cocoon
790,Hellsing Ultimate
793,Ergo Proxy
801,xxxHOLiC Movie: Manatsu no Yoru no Yume
813,Koukaku Kidoutai: Stand Alone Complex 2nd GIG
820,Dragon Ball Z
834,Ginga Eiyuu Densetsu
846,Bleach: The Sealed Sword Frenzy
849,School Rumble Ni Gakki
853,Suzumiya Haruhi no Yuuutsu
855,Ouran Koukou Host Club
856,Strawberry Panic
857,Utawarerumono
861,Air Gear
874,xxxHOLiC
877,Digimon Tamers
889,Nana
908,Black Lagoon
918,Fullmetal Alchemist: Premium Collection
934,Gintama
935,Higurashi no Naku Koro ni
936,Witchblade
940,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!
949,Inukami!
957,Top wo Nerae! Gunbuster
969,Saiunkoku Monogatari
1004,Tsubasa Chronicle 2nd Season
1015,Kanojo to Kanojo no Neko
1033,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi
1117,Sennen Joyuu
1118,Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan
1119,Pokemon Movie 03: Kesshoutou no Teiou Entei
1140,Pokemon Movie 04: Celebi Toki wo Koeta Deai
1142,Giniro no Kami no Agito
1195,Hachimitsu to Clover II
1210,Zero no Tsukaima
1222,NHK ni Youkoso!
1239,Bokura ga Ita
1250,Bishoujo Senshi Sailor Moon SuperS
1254,Erementar Gerad
1292,Saint Seiya
1313,Afro Samurai
1361,Digimon Adventure 02
1482,Final Fantasy: The Spirits Within
1498,D.Gray-man
1519,Black Blood Brothers
1530,Black Lagoon: The Second Barrage
1535,Kanon (2006)
1536,Death Note
1559,Busou Renkin
1562,Shijou Saikyou no Deshi Kenichi
1566,Yamato Nadeshiko Shichihenge♥
1569,Koukaku Kidoutai: Stand Alone Complex - Solid State Society
1571,Otome wa Boku ni Koishiteru
1575,Ghost Hunt
1579,Code Geass: Hangyaku no Lelouch
1594,Kiniro no Corda: Primo Passo
1604,Jigoku Shoujo Futakomori
1606,Katekyo Hitman Reborn!
1686,Kekkaishi (TV)
1689,Bleach Movie 1: Memories of Nobody
1690,Byousoku 5 Centimeter
1691,Bokura no
1698,Kaze no Stigma
1699,Nodame Cantabile
1719,Romeo x Juliet
1722,Rozen Maiden: Ouvertüre
1723,Nagasarete Airantou
1726,Clannad Movie
1735,Devil May Cry
1815,Naruto: Shippuuden
1818,Shakugan no Shana Movie
1827,Claymore
1829,Seirei no Moribito
1840,Ged Senki
1887,Zero no Tsukaima: Futatsuki no Kishi
1889,Lucky☆Star
1943,Higurashi no Naku Koro ni Kai
1965,Paprika
2001,Sola
2002,Tengen Toppa Gurren Lagann
2025,Heroic Age
2026,Darker than Black: Kuro no Keiyakusha
2034,Hayate no Gotoku!
2104,Lovely★Complex
2129,Seto no Hanayome
2131,True Tears
2144,Bokusatsu Tenshi Dokuro-chan 2
2164,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!
2167,Dennou Coil
2216,Clannad
2236,Shigurui
2246,Toki wo Kakeru Shoujo
2248,Mononoke
2251,Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai
2369,Baccano!
2403,Rental Magica
2404,Kodomo no Jikan (TV)
2418,Zombie-Loan
2472,Stranger: Mukou Hadan
2476,Naruto: Shippuuden Movie 1
2494,School Days
2508,Goshuushou-sama Ninomiya-kun
2581,Genshiken 2
2593,Mobile Suit Gundam 00
2596,Kara no Kyoukai 1: Fukan Fuukei
2605,Shinreigari
2685,Sayonara Zetsubou Sensei
2759,Tsubasa: Tokyo Revelations
2787,Evangelion: 1.0 You Are (Not) Alone
2889,Shakugan no Shana II (Second)
2890,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru
2899,Gake no Ue no Ponyo
2904,Higurashi no Naku Koro ni Special: Nekogoroshi-hen
2923,Code Geass: Hangyaku no Lelouch R2
2924,Shugo Chara!
2926,ef: A Tale of Memories.
2927,Myself; Yourself
2952,KimiKiss Pure Rouge
2963,Final Fantasy VII: Advent Children Complete
2966,Minami-ke
2986,Ookami to Koushinryou
2993,Bamboo Blade
2994,Rosario to Vampire
3001,Death Note: Rewrite
3002,Moyashimon
3087,Gyakkyou Burai Kaiji: Ultimate Survivor
3091,Cencoroll
3092,xxxHOLiC Kei
3167,Junjou Romantica
3225,Eve no Jikan
3228,Minami-ke Okawari
3229,Zoku Sayonara Zetsubou Sensei
3230,Kimi ga Aruji de Shitsuji ga Ore de
3297,Druaga no Tou: The Aegis of Uruk
3299,Aria the Origination
3342,H2O: Footprints in the Sand
3358,Mnemosyne: Mnemosyne no Musume-tachi
3366,Kure-nai
3407,Persona: Trinity Soul
3420,Blassreiter
3455,Shigofumi
3457,To LOVE-Ru
3467,Vampire Knight
3470,Nogizaka Haruka no Himitsu
3503,Special A
3572,Kanokon
3588,Macross F
3594,Soul Eater
3652,Tears to Tiara
3655,Higurashi no Naku Koro ni Rei
3667,Nabari no Ou
3701,Strike Witches
3702,Kaiba
3712,Detroit Metal City
3713,Zero no Tsukaima: Princesses no Rondo
3731,Jigoku Shoujo Mitsuganae
3782,Itazura na Kiss
3783,Kara no Kyoukai 2: Satsujin Kousatsu (Zen)
3784,Kara no Kyoukai 3: Tsuukaku Zanryuu
3785,Evangelion: 2.0 You Can (Not) Advance
3786,Evangelion: 3.0 You Can (Not) Redo
3901,Evangelion: 3.0+1.0 Thrice Upon a Time
3927,Baccano! Specials
3958,Mobile Suit Gundam 00 Second Season
3974,Kannagi
4059,Tetsuwan Birdy Decode
4063,Clannad: Mou Hitotsu no Sekai Tomoyo-hen
4081,Sekirei
4087,Natsume Yuujinchou
4106,Michiko to Hatchin
4107,Trigun: Badlands Rumble
4155,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen
4177,One Piece Film: Strong World
4181,Bounen no Xamdou
4182,Clannad: After Story
4186,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita
4192,Chrome Shelled Regios
4214,Hayate no Gotoku!!
4224,Rosario to Vampire Capu2
4280,Toradora!
4282,Kara no Kyoukai 4: Garan no Dou
4382,Kara no Kyoukai 5: Mujun Rasen
4437,Suzumiya Haruhi no Yuuutsu (2009)
4472,Naruto: Shippuuden Movie 2 - Kizuna
4477,Lucky☆Star: Original na Visual to Animation
4535,Nodame Cantabile: Paris-hen
4548,Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life
4551,Yozakura Quartet
4565,Hakushaku to Yousei
4581,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen
4654,Shikabane Hime: Aka
4719,Toaru Majutsu no Index
4720,Queen's Blade: Rurou no Senshi
4722,White Album
4725,Skip Beat!
4744,Ga-Rei: Zero
4752,Akaneiro ni Somaru Saka
4789,Vampire Knight: Guilty
4814,ef: A Tale of Melodies.
4835,Junjou Romantica 2
4884,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu
4896,Tales of the Abyss
4898,Umineko no Naku Koro ni
4901,Kuroshitsuji
4918,Black Lagoon: Roberta's Blood Trail
4975,xxxHOLiC Shunmuki
4981,ChäoS;HEAd
4999,Casshern Sins
5030,Asu no Yoichi!
5039,Maria†Holic
5040,Kurozuka
5042,One Outs
5060,Kiss x Sis
5079,Hetalia Axis Powers
5081,Kurokami The Animation
5112,Bakemonogatari
5114,Akikan!
5118,Fullmetal Alchemist: Brotherhood
5150,Suzumiya Haruhi-chan no Yuuutsu
5162,Hatsukoi Limited.
5177,Minami-ke Okaeri
5204,Denpa-teki na Kanojo
5205,Kara no Kyoukai 6: Boukyaku Rokuon
5220,Kara no Kyoukai 7: Satsujin Kousatsu (Go)
5258,Shangri-La
5262,Hajime no Ippo: New Challenger
5277,Shugo Chara!! Doki
5300,Sekirei: Pure Engagement
5341,Zoku Natsume Yuujinchou
5342,Ookami to Koushinryou II
5355,Asura Cryin'
5356,Sengoku Basara
5365,Canaan
5507,Tsumiki no Ie
5525,Senjou no Valkyria
5530,07-Ghost
5593,Pandora Hearts
5630,Dogs: Bullets & Carnage
5667,Higashi no Eden
5671,To LOVE-Ru OVA
5678,Saki
5680,Kobato.
5681,K-On!
5682,Summer Wars
5690,Phantom: Requiem for the Phantom
5764,Nodame Cantabile: Finale
5781,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama
5909,Isekai no Seikishi Monogatari
